[1055] {
[1053] }
[760] .
[709] +
[683]  
[609] *
[604] \
[601] 1
[564] "
[516] %
[515] ,
[475] '
[441] /
[414] 2
[375] $
[359] ;
[348] ]
[346] )
[345] ~
[342] :
[341] @
[329] 0
[296] =
[277] -
[250] (
[243] n
[239] [
[191] ?
[188] 3
[173] >
[171] i
[163] ^
[145] 9
[143] o
[138] <
[138] s
[129] !
[126] a
[125] 4
[122] e
[118] `
[117] d
[105] 5
[105] 6
[105] f
[103] &
[100] p
[099] r
[088] b
[075] |
[066] t
[066] 8
[062] 7
[051] z
[043] A
[040] E
[038] c
[038] x
[037] L
[036] S
[035] l
[035] u
[034] w
[033] O
[033] m
[033] N
[032] B
[030] h
[027] P
[025] T
[025] g
[025] C
[024] I
[023] D
[021] #
[021] v
[021] §
[021] R
[017] k
[017] F
[016] G
[015] H
[015] Y
[014] _
[013] X
[012] K
[012] y
[011] V
[011] W
[010] Z
[010] Q
[010] J
[010] M
[009] q
[009] U
[007] €
[006] ¤
[006] j
[005] ²
[004] ¥
[004] Γ
[003] ¨
[003] ¸
[003] ¯
[002] µ
[002] È
[002] μ
[002] ¶
[002] √
[001] á
[001] ¬
[001] ä
[001] ’
[001] Œ
[001] Ž
[001] Â
[001] Ä
[001] °
[001] å
[001] „
[001] ¡
[001] ¼
[001] ¢
[001] ñ
[001] ø
[001] ±
[001] ª
[001] ·
[001] ´
[001]  
[001] ▗
[001] ▝
[001] ▐
[001] ▖
[001] ▄
[001] ▞
[001] ▟
[001] ▘
[001] ▚
[001] ▀
[001] ▜
[001] ▌
[001] ▙
[001] ▛
[001] █
