[305] ""
[254] }%
[176] +}
[165] {.
[150] }*
[130] 1$
[125] ,{
[115] }/
[101] }+
[099] {1
[091] \{
[090] =}
[090] *}
[084] 2$
[081] -1
[078] 10
[074] },
[074] }:
[071] .,
[070] * 
[063] }{
[062] +\
[062] do
[061] .{
[060] }d
[060] ,,
[060] /{
[059] if
[059] ; 
[058] %}
[056] {[
[056] {{
[056] \+
[055] %{
[055] .@
[054] ;}
[053] @+
[051] ' 
[050] {)
[050] 2/
[050] 2*
[050] 0=
[050] n*
[047]  '
[047] ..
[047] /}
[045] " 
[045] }i
[045] ''
[045] +.
[045] :^
[045] *+
[045] {+
[045] .2
[044] 1%
[044] 1=
[044] se
[043] ?)
[043] {;
[043] {\
[042] \}
[041] *\
[041] )}
[041] ba
[041] \;
[041] {(
[041] @@
[041] .}
[040] ~]
[040] '*
[040] as
[040] 3$
[040] ip
[039] `{
[039] zi
[039] 1>
[038] {~
[038] %.
[038]  "
[038] 1/
[037] ++
[036] {2
[036] {:
[034] '+
[034] % 
[034] ]}
[034] {'
[034] *;
[033] ;{
[033] (;
[032] +1
[032] (\
[031] <}
[031] / 
[031] \.
[030] 0\
[030] nd
[030] +{
[030] an
[030] *]
[029] .1
[029] f}
[029]  1
[028] 32
[028] +%
[028] ra
[028] )\
[028] ))
[027] []
[027] n/
[027] >{
[027] ]{
[027] *.
[027] !}
[027] .~
[027] ,}
[026] o 
[026] [[
[026] /.
[026] [1
[026] .0
[025] $+
[025] ,2
[025] ~:
[025] '/
[025] \?
[025] $-
[024] %+
[024] n%
[024] $\
[024] %n
[024] /\
[024] 2>
[024] o;
[024] ={
[023] $=
[023] ,\
[023] \-
[023] (.
[023] ;]
[023] ;;
[023] 99
[023] $1
[023] 2%
[023] %\
[023] ]+
[022] *1
[022] ,1
[022] ~.
[022] ~}
[022] @\
[022] %$
[022] 12
[022] \)
[022] n}
[022] ${
[022] \]
[022] \(
[021] 1&
[021] !{
[021] = 
[021] '\
[021] ),
[021] ).
[021] 3*
[021] .'
[021] ~)
[021] -.
[021] {`
[021] "*
[020] p{
[020] ?}
[020] &}
[020] %!
[020] .*
[020] ;.
[020] +,
[020] {"
[020] ]]
[020] "+
[020] {0
[020] +@
[020] +2
[020] .3
[020] {,
[020] in
[019] [0
[019] , 
[019] .(
[019] [.
[019] -}
[019] $?
[019] .+
[019] {3
[019] <{
[019] \,
[019] ](
[019] ]*
[019] .`
[019] ~\
[019] 0 
[018] ):
[018] + 
[018] $0
[018] }$
[018] 5+
[018] 0+
[018] e 
[018] ]\
[018] \%
[018] [{
[018] ~{
[017] 0<
[017] *@
[017] 0,
[017] 00
[017] {^
[017] 26
[017] /'
[017] (@
[017] :f
[017] 1,
[017] :s
[017]  2
[017] ~ 
[017] +]
[016] $%
[016] ;\
[016] 0*
[016] )1
[016] ].
