[060] }do
[058] +}*
[050] {1$
[046] """
[045] "" 
[044] }if
[041] {+}
[041] -1%
[040] bas
[040] ase
[039] zip
[038]  ""
[038] n* 
[036] }*}
[035] +}%
[035] ' '
[029] " "
[028] and
[028] \{.
[028] +}/
[027] }% 
[027] if}
[026] .2$
[026] ran
[026] +}+
[025] }%{
[024] }+%
[024] =},
[024] .}d
[023] =}%
[023] *}%
[023] do;
[022] ,{)
[022] =}+
[022] %}%
[021] }/ 
[021] ""*
[021] -1=
[021] },,
[020] }/}
[020] ""+
[020] {""
[020] ip{
[019] 0\{
[019] }%.
[019] *+}
[019] {.,
[018] {.2
[018] @+\
[018] }*;
[017] ''+
[017] ,,{
[016] }%$
[016] ,{.
[016] }*]
[016] %""
[016] }%\
[016] {.@
[015]  '*
[015] 2ba
[015] ,}%
[015] $-1
[015] do 
[015] +%}
[015] {.{
[014] ]}%
[014] .,{
[014] ++}
[014] }%}
[014] +1$
[014] *}:
[014] }%+
[014] ""\
[014] .,,
[014] \}*
[014] )}%
[013] }{;
[013] 1$1
[013] %n*
[013] ,1>
[013] },{
[013] }:f
[013] ?)}
[013] {[.
[012] %}/
[012] {{+
[012] !},
[012] *}{
[012] \+}
[012] .-1
[012] 1$\
[012] 10,
[012] }%"
[012] {,}
[012] $0=
[012] +\}
[012] 1$+
[012] }* 
[012] 2/{
[012] }+1
[012] *}/
[012] *}*
[012] ]zi
[011] /n*
[011] .""
[011] abs
[011] }%n
[011] [[]
[011] []]
[011] )))
[011] $1$
[011]  10
[011] n}%
[011] ""#
[011] }/]
[011] 65+
[011] {`{
[011] [\]
[011] /{~
[011] @\+
[011] {(.
[011] ,2>
[011] }+,
[011] +""
[010] ~}%
[010] }%'
[010] ;}:
[010] 1$%
[010] %!}
[010] se{
[010] 100
[010] .@+
[010] {:^
[010] %\;
[010] /}/
[010] 1$-
[010] \%!
[010] *""
[010] "".
[010] {{.
[009] ~{.
[009] put
[009] {..
[009] .,2
[009] 1/{
[009] `{1
[009] ,{1
[009] {2$
[009] {32
[009] {=}
[009] '/{
[009] ,{[
[009] )},
[009] }""
[009] ${1
[009] %zi
[009] n%{
[009] )\;
[009] ]\{
[009] .0=
[009] \+{
[009] {.1
[009] "#{
[009] 10%
[009] if 
[009] \{\
[009] {\.
[009] se 
[009] .10
[009] +}{
[009] ;}*
[009] }/;
[008] ;}%
[008] \;}
[008] ""=
[008] ?0<
[008] {;}
[008] }*.
[008] ""?
[008] '*n
[008] ,}$
[008] +\{
[008] ~](
[008] ;}i
[008] {)}
[008] [[[
[008] uts
[008] =""
[008] 1$?
[008] f; 
[008] 1=}
[008] "* 
[008] -}%
[008] 6,{
[008] -9+
[008] {.3
[008] +@@
[008] 2$?
[008] @+}
[008] ""/
[008] }3*
[008] )1$
[008] 1$=
[008] 1>{
[008] 2$+
[008] 10*
[008] *;}
[008] ""'
[008] /}%
[008] 2>{
[008] $+}
[008] \+\
[007] *;]
[007] \+.
[007] {[2
[007] }++
[007] 2$\
[007] {1>
[007] n/{
[007] ]f]
[007] f]f
[007] ','
[007] }:^
[007] :^,
[007] =}:
[007] /}:
[007] !""
[007] {(;
[007] 6ba
[007] 32+
[007] ]{{
[007] {10
[007] <}+
[007] +/}
[007] 0=}
[007] {''
[007] {65
[007] `{\
[007] [10
[007] .@\
[007] ,{:
[007] \{1
[007] :f;
[007] 0,{
[007] <}d
[007] se}
[007] nd=
[007] *\+
[007] ]-1
[007] n}/
[007] @+@
[007] ;}{
[007] \?)
[007] )99
[007] /{.
[007] ]}*
[007] $=}
[007] 9+9
[007] .9>
[007] %{+
[007] .2%
[007] ~""
[007] }%2
[007] 9-9
[007] '/'
[007] 5+}
[007] 2\?
[007] *\{
[007] {.0
[007] '*'
[007] %+}
[007] :^;
[007] {1/
[007] '.'
[006] 1.{
[006] ""n
[006] ?,{
[006] ]n*
[006] .`{
[006] {*}
[006] 'if
[006] :S;
[006] *' 
[006] }2*
[006] /.}
[006] %2/
[006] @.@
[006] }.~
[006] '1/
[006] ]+}
[006] 2/.
[006] }%;
[006] }/{
[006] ))9
[006] 2/=
[006] 1=.
[006] .{,
[006] \(@
[006] one
[006] \]}
[006] p{{
[006] .{.
[006] *10
[006] +(\
[006] 2$*
[006] \; 
[006] }%z
[006] do]
[006] }/+
[006] *@@
[006] f}%
[006] %''
[006] [{.
[006] (;}
[006] .3$
[006] ;{.
[006] ,{{
[006] }{(
[006] }+/
[006] se(
[006] ,\{
[006] 2%}
[006] ?)!
[006] e(;
[006] ""]
[006] ;}/
[006] *}+
[006] {.9
[006] ;;}
[006] [0]
[006] 0 1
[006] }*\
[006] ;\;
[006] 4,{
[006] 9,{
[006] {)1
[006] +{.
[006] (;{
[006] ^1$
[006] 1$,
[006] .,1
[006] }%:
[006] +\.
[006] 10/
[006] 999
[006] - 2
[006] 2*\
[005] "?)
[005] ?}%
[005] @+.
[005] $\%
[005] ""@
[005] ~]{
[005] }%?
[005] {.`
[005] \,{
[005] {\)
[005] ={;
[005] 1% 
[005] 6ra
[005] 9ra
[005] }{~
[005] {~+
[005] {(}
[005] f}d
[005] /=}
[005] 1/*
[005] 1%{
[005] ;""
[005] +{+
[005] (}%
[005] {(\
[005] nd}
[005] =+}
[005] .@<
[005] {;.
[005] 1&}
[005] '=}
[005] .{1
[005] %$-
[005] '''
[005] [1$
[005] 31&
[005] }$0
[005] 26,
[005] 1= 
[005] }:C
[005] +*}
[005] .32
[005] 1${
[005] ,""
[005] 2+}
[005] /= 
[005] *;;
[005] \""
[005] {).
[005] %n}
[005] ts}
[005] .~ 
